timestamp,sim_time_s,bus_voltage_v,frequency_hz,total_kw,total_kvar,total_kva,power_factor,current_a,fault_injected
2026-06-18T01:05:57+00:00,0,413.46,50.0,84.5,38.35,92.79,0.911,224.43,none
2026-06-18T01:05:59+00:00,30,412.86,50.0,116.91,54.64,129.05,0.906,312.57,none
2026-06-18T01:06:01+00:00,60,412.8,50.0,119.63,56.33,132.23,0.905,320.32,none
2026-06-18T01:06:03+00:00,90,412.8,50.0,119.63,56.33,132.23,0.905,320.32,none
2026-06-18T01:06:05+00:00,120,412.86,50.0,116.91,54.64,129.05,0.906,312.57,none
2026-06-18T01:06:07+00:00,150,412.94,50.0,112.5,51.91,123.9,0.908,300.04,none
2026-06-18T01:06:09+00:00,180,413.03,50.0,108.09,49.18,118.75,0.91,287.52,none
2026-06-18T01:06:11+00:00,210,413.08,50.0,105.37,47.49,115.57,0.912,279.79,none
2026-06-18T01:06:13+00:00,240,413.08,50.0,105.37,47.49,115.57,0.912,279.79,none
2026-06-18T01:06:15+00:00,270,413.03,50.0,108.09,49.18,118.75,0.91,287.52,none
2026-06-18T01:06:17+00:00,300,412.94,50.0,112.5,51.91,123.9,0.908,300.04,none
2026-06-18T01:06:19+00:00,330,413.37,50.0,88.91,41.08,97.94,0.908,236.93,none
2026-06-18T01:06:21+00:00,360,413.32,50.0,91.63,42.77,101.12,0.906,244.66,none
2026-06-18T01:06:23+00:00,390,413.32,50.0,91.63,42.77,101.12,0.906,244.66,none
2026-06-18T01:06:25+00:00,420,413.37,50.0,88.91,41.08,97.94,0.908,236.93,none
2026-06-18T01:06:27+00:00,450,413.46,50.0,84.5,38.35,92.79,0.911,224.43,none
2026-06-18T01:06:29+00:00,480,413.54,50.0,80.09,35.62,87.65,0.914,211.96,none
2026-06-18T01:06:31+00:00,510,413.6,50.0,77.37,33.93,84.48,0.916,204.25,none
2026-06-18T01:06:33+00:00,540,413.6,50.0,77.37,33.93,84.48,0.916,204.25,none
2026-06-18T01:06:35+00:00,570,413.54,50.0,80.09,35.62,87.65,0.914,211.96,none
2026-06-18T01:06:37+00:00,600,413.46,50.0,84.5,38.35,92.79,0.911,224.43,none
2026-06-18T01:06:39+00:00,630,412.86,50.0,116.91,54.64,129.05,0.906,312.57,none
2026-06-18T01:06:41+00:00,660,412.8,50.0,119.63,56.33,132.23,0.905,320.32,none
2026-06-18T01:06:43+00:00,690,412.8,50.0,119.63,56.33,132.23,0.905,320.32,none
2026-06-18T01:06:45+00:00,720,412.86,50.0,116.91,54.64,129.05,0.906,312.57,none
2026-06-18T01:06:47+00:00,750,412.94,50.0,112.5,51.91,123.9,0.908,300.04,none
2026-06-18T01:06:49+00:00,780,413.03,50.0,108.09,49.18,118.75,0.91,287.52,none
2026-06-18T01:06:51+00:00,810,413.08,50.0,105.37,47.49,115.57,0.912,279.79,none
2026-06-18T01:06:53+00:00,840,413.08,50.0,105.37,47.49,115.57,0.912,279.79,none
2026-06-18T01:06:55+00:00,870,413.03,50.0,108.09,49.18,118.75,0.91,287.52,none
2026-06-18T01:06:57+00:00,900,412.94,50.0,112.5,51.91,123.9,0.908,300.04,none
2026-06-18T01:06:59+00:00,930,413.37,50.0,88.91,41.08,97.94,0.908,236.93,none
2026-06-18T01:07:01+00:00,960,413.32,50.0,91.63,42.77,101.12,0.906,244.66,none
2026-06-18T01:07:03+00:00,990,413.32,50.0,91.63,42.77,101.12,0.906,244.66,none
2026-06-18T01:07:05+00:00,1020,413.37,50.0,88.91,41.08,97.94,0.908,236.93,none
2026-06-18T01:07:07+00:00,1050,413.46,50.0,84.5,38.35,92.79,0.911,224.43,none
2026-06-18T01:07:09+00:00,1080,413.54,50.0,80.09,35.62,87.65,0.914,211.96,none
2026-06-18T01:07:11+00:00,1110,413.6,50.0,77.37,33.93,84.48,0.916,204.25,none
2026-06-18T01:07:13+00:00,1140,413.6,50.0,77.37,33.93,84.48,0.916,204.25,none
2026-06-18T01:07:15+00:00,1170,413.54,50.0,80.09,35.62,87.65,0.914,211.96,none
2026-06-18T01:07:17+00:00,1200,413.46,50.0,84.5,38.35,92.79,0.911,224.43,none
2026-06-18T01:07:19+00:00,1230,412.86,50.0,116.91,54.64,129.05,0.906,312.57,none
2026-06-18T01:07:21+00:00,1260,412.8,50.0,119.63,56.33,132.23,0.905,320.32,none
2026-06-18T01:07:23+00:00,1290,412.8,50.0,119.63,56.33,132.23,0.905,320.32,none
2026-06-18T01:07:25+00:00,1320,412.86,50.0,116.91,54.64,129.05,0.906,312.57,none
2026-06-18T01:07:27+00:00,1350,412.94,50.0,112.5,51.91,123.9,0.908,300.04,none
2026-06-18T01:07:29+00:00,1380,413.03,50.0,108.09,49.18,118.75,0.91,287.52,none
2026-06-18T01:07:31+00:00,1410,413.08,50.0,105.37,47.49,115.57,0.912,279.79,none
2026-06-18T01:07:33+00:00,1440,413.08,50.0,105.37,47.49,115.57,0.912,279.79,none
2026-06-18T01:07:35+00:00,1470,413.03,50.0,108.09,49.18,118.75,0.91,287.52,none
2026-06-18T01:07:37+00:00,1500,412.94,50.0,112.5,51.91,123.9,0.908,300.04,none
2026-06-18T01:07:39+00:00,1530,413.37,50.0,88.91,41.08,97.94,0.908,236.93,none
2026-06-18T01:07:41+00:00,1560,413.32,50.0,91.63,42.77,101.12,0.906,244.66,none
2026-06-18T01:07:43+00:00,1590,413.32,50.0,91.63,42.77,101.12,0.906,244.66,none
2026-06-18T01:07:45+00:00,1620,413.37,50.0,88.91,41.08,97.94,0.908,236.93,none
2026-06-18T01:07:47+00:00,1650,413.46,50.0,84.5,38.35,92.79,0.911,224.43,none
2026-06-18T01:07:49+00:00,1680,413.54,50.0,80.09,35.62,87.65,0.914,211.96,none
2026-06-18T01:07:51+00:00,1710,413.6,50.0,77.37,33.93,84.48,0.916,204.25,none
2026-06-18T01:07:53+00:00,1740,413.6,50.0,77.37,33.93,84.48,0.916,204.25,none
2026-06-18T01:07:55+00:00,1770,413.54,50.0,80.09,35.62,87.65,0.914,211.96,none
2026-06-18T01:07:57+00:00,1800,413.46,50.0,84.5,38.35,92.79,0.911,224.43,none
2026-06-18T01:07:59+00:00,1830,412.86,50.0,116.91,54.64,129.05,0.906,312.57,none
2026-06-18T01:08:01+00:00,1860,412.8,50.0,119.63,56.33,132.23,0.905,320.32,none
2026-06-18T01:08:03+00:00,1890,412.8,50.0,119.63,56.33,132.23,0.905,320.32,none
2026-06-18T01:08:05+00:00,1920,412.86,50.0,116.91,54.64,129.05,0.906,312.57,none
2026-06-18T01:08:07+00:00,1950,412.94,50.0,112.5,51.91,123.9,0.908,300.04,none
2026-06-18T01:08:09+00:00,1980,413.03,50.0,108.09,49.18,118.75,0.91,287.52,none
2026-06-18T01:08:11+00:00,2010,413.08,50.0,105.37,47.49,115.57,0.912,279.79,none
2026-06-18T01:08:13+00:00,2040,413.08,50.0,105.37,47.49,115.57,0.912,279.79,none
2026-06-18T01:08:15+00:00,2070,413.03,50.0,108.09,49.18,118.75,0.91,287.52,none
2026-06-18T01:08:17+00:00,2100,412.94,50.0,112.5,51.91,123.9,0.908,300.04,none
2026-06-18T01:08:19+00:00,2130,413.37,50.0,88.91,41.08,97.94,0.908,236.93,none
2026-06-18T01:08:21+00:00,2160,413.32,50.0,91.63,42.77,101.12,0.906,244.66,none
